Country,Male Including NMSC Number,Male Including NMSC Rate,Male Excluding NMSC Number, Male Excluding NMSC Rate,Female Including NMSC Number,Female Including NMSC Rate,Female Excluding NMSC Number,Female Excluding NMSC Rate
ÿBrazil,"319,711",240.1,"298,124",224.7,"307,482",197.6,"293,536",190.5
ÿNorth Macedonia,"4,259",239.8,"4,011",227.8,"3,304",180.5,"3,224",177.4
ÿUkraine,"75,825",236.4,"73,902",231,"79,414",182.1,"76,785",178.3
ÿSingapore,"13,342",235.9,"13,070",231.2,"11,908",231,"11,731",228.2
ÿSouth Africa,"52,379",232.4,"46,446",204.5,"58,942",190.4,"54,451",175.8
ÿArgentina,"65,040",231.8,"62,734",224.2,"68,380",208.7,"66,955",205.4
ÿBarbados,578,224.5,568,219.7,542,190.7,536,189.2
ÿChile,"32,800",221.7,"31,026",210.9,"27,076",165.1,"26,056",160.6
ÿNamibia,"1,540",221.4,"1,404",199.4,"1,913",183.1,"1,818",173.5
ÿBahamas,477,214.4,465,208.7,478,177.6,472,175.7
World,"10,311,610",212.6,"9,566,825",198.6,"9,664,889",186.3,"9,175,144",178.9
ÿChina,"2,533,906",209.6,"2,510,278",207.7,"2,290,797",197,"2,265,141",195.2
ÿZimbabwe,"6,505",202.5,"6,334",197.4,"11,220",220.5,"10,978",215.7
ÿJamaica,"3,713",202.5,"3,674",200.3,"3,787",197.4,"3,755",195.8
ÿVenezuela,"31,374",201.6,"28,836",185.7,"31,573",174.5,"29,777",166.5
